target,selection_view,family,family_label,model,n_features,feature,signed_coef,abs_coef,coef_rank_abs
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_03,0.03370098703217523,0.03370098703217523,34
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,word_repeat_percentage,-0.03167600425619768,0.03167600425619768,35
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_06,0.02931194497389781,0.02931194497389781,36
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,semantic_perplexity_var,0.02803602375810596,0.02803602375810596,37
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mean_pause_variability,0.02623171367812918,0.02623171367812918,38
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mean_turn_length_words,-0.026177105363648645,0.026177105363648645,39
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,speaker_percentage,-0.024042787790592518,0.024042787790592518,40
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_previous_speaker_turn_similarity_var,-0.021725712216810366,0.021725712216810366,41
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_turn_tangeniality_slope,0.021279012029781504,0.021279012029781504,42
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_previous_speaker_turn_similarity_slope,-0.020587941427027252,0.020587941427027252,43
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,num_turns,0.02041653470481242,0.02041653470481242,44
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,semantic_perplexity_mean,0.01757258709727573,0.01757258709727573,45
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,speech_length_words,-0.016681091649127726,0.016681091649127726,46
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,num_interrupts,-0.015830623079583665,0.015830623079583665,47
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_previous_speaker_turn_similarity_mean,0.015737721730534386,0.015737721730534386,48
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_neu,0.015735037791370175,0.015735037791370175,49
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,turn_to_turn_tangeniality_mean,0.01563121623865494,0.01563121623865494,50
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_16,-0.015626730196486666,0.015626730196486666,51
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,sentiment_vader_neu,0.014609819714613106,0.014609819714613106,52
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,mean_pre_turn_pause,0.013593951143442203,0.013593951143442203,53
Depression_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,vader_hist_bin_09,-0.013267176969263534,0.013267176969263534,54
