target,family,n_features,threshold,model,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_accuracy,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_accuracy,UA_test_roc,delta_pr_ua_minus_en,delta_f1_ua_minus_en,delta_f1_binary_ua_minus_en,delta_acc_ua_minus_en,delta_roc_ua_minus_en,retention_pr_ratio,retention_f1_ratio,test_score_spearman_en_vs_ua,test_score_pearson_en_vs_ua,test_same_label_rate_en_vs_ua,bootstrap_n,EN_test_pr_boot_mean,EN_test_pr_ci_low,EN_test_pr_ci_high,EN_test_f1_boot_mean,EN_test_f1_ci_low,EN_test_f1_ci_high,EN_test_f1_binary_boot_mean,EN_test_f1_binary_ci_low,EN_test_f1_binary_ci_high,EN_test_accuracy_boot_mean,EN_test_accuracy_ci_low,EN_test_accuracy_ci_high,EN_test_roc_boot_mean,EN_test_roc_ci_low,EN_test_roc_ci_high,UA_test_pr_boot_mean,UA_test_pr_ci_low,UA_test_pr_ci_high,UA_test_f1_boot_mean,UA_test_f1_ci_low,UA_test_f1_ci_high,UA_test_f1_binary_boot_mean,UA_test_f1_binary_ci_low,UA_test_f1_binary_ci_high,UA_test_accuracy_boot_mean,UA_test_accuracy_ci_low,UA_test_accuracy_ci_high,UA_test_roc_boot_mean,UA_test_roc_ci_low,UA_test_roc_ci_high,delta_pr_ua_minus_en_boot_mean,delta_pr_ua_minus_en_ci_low,delta_pr_ua_minus_en_ci_high,delta_f1_ua_minus_en_boot_mean,delta_f1_ua_minus_en_ci_low,delta_f1_ua_minus_en_ci_high
Depression_label,B07_from_B0,53,0.404554584635462,logreg_l2_liblinear_C0.05_cwpos2.0,0.6828476758699452,0.7134502923976609,0.6111111111111113,0.75,0.755656108597285,0.6156433141556389,0.6777905638665133,0.5454545454545455,0.7321428571428571,0.7134238310708899,-0.06720436171430633,-0.03565972853114763,-0.06565656565656575,-0.017857142857142905,-0.042232277526395134,0.9015822062677621,0.9500179214850308,0.9456596035543404,0.952545063192896,0.9107142857142857,2000,0.692671698709517,0.48011321727063894,0.8619313159680104,0.7094236697745007,0.5776772247360483,0.8292173384352054,0.6060998877518119,0.4,0.7804878048780488,0.7494464285714286,0.625,0.8571428571428571,0.7562401149168272,0.5884174722520588,0.9006191950464394,0.6398678848143673,0.3961908877210228,0.8328851741183092,0.6745707061581356,0.5354449472096532,0.8055835251246642,0.5412626116491756,0.31578947368421056,0.7368421052631577,0.732625,0.6071428571428571,0.8571428571428571,0.7151135070422293,0.5320048673808072,0.8671011044616357,-0.05280381389514949,-0.17070356973554046,0.04697305849860198,-0.03485296361636493,-0.12624701082633066,0.04660091922519699
Depression_label,B09_from_B0,20,0.4152280587823004,logreg_l2_liblinear_C0.005_cwpos1.8,0.5242572475606267,0.5489067894131184,0.3636363636363636,0.625,0.5942684766214178,0.4542674863824633,0.5762644364794902,0.3870967741935484,0.6607142857142857,0.5897435897435896,-0.06998976117816347,0.027357647066371782,0.023460410557184785,0.0357142857142857,-0.004524886877828149,0.8664972940215392,1.049840241720497,0.9859876965140123,0.930485225097226,0.9642857142857143,2000,0.5335525521713324,0.3117226926899135,0.7176441619203126,0.5449639968126596,0.4087326637972262,0.6813008130081302,0.35709406948966516,0.13793103448275862,0.5625,0.6265357142857143,0.5,0.75,0.5971007160511722,0.4117551410808226,0.7636125283446712,0.47547507223443986,0.2551284042044911,0.682763153140415,0.5719041131342094,0.4295749912188268,0.7100756670649143,0.3798861327376727,0.14814814814814814,0.5925925925925927,0.6618660714285715,0.5357142857142857,0.7857142857142857,0.5924578413327477,0.41717820605992845,0.7580332885308945,-0.05807747993689258,-0.16724814054124046,0.009296606636163735,0.02694011632154968,0.0,0.07149019436328627
Depression_label,B0_rho05_vaderfull,82,0.5320324848487864,logreg_l2_liblinear_C0.02_bal,0.7290024732412276,0.7888386123680242,0.7058823529411765,0.8214285714285714,0.7873303167420815,0.7135738693311233,0.7375,0.625,0.7857142857142857,0.7722473604826546,-0.015428603910104255,-0.05133861236802417,-0.08088235294117652,-0.0357142857142857,-0.015082956259426905,0.9788360060816983,0.9349187380497131,0.9416267942583733,0.947082310850792,0.9642857142857143,2000,0.7342749027324217,0.511650104389075,0.8957661958345946,0.7853255139861409,0.6569369369369369,0.8939935064935063,0.7001225866917213,0.5,0.857305194805194,0.8218392857142858,0.7142857142857143,0.9107142857142857,0.7866620848021003,0.6172648278061227,0.9254560406698563,0.7210157478042886,0.495963149997088,0.8880760206957996,0.7339537131372635,0.602808631700009,0.8587387387387387,0.6191950897587006,0.39999999999999997,0.7999999999999999,0.7864821428571429,0.6785714285714286,0.8928571428571429,0.7721506575765539,0.6003137435654047,0.9125135869565216,-0.01325915492813309,-0.08372525844257513,0.060766425549415595,-0.05137180084887718,-0.12984971389046085,0.0
PTSD_label,B07_from_B0,53,0.500703889393398,logreg_l2_liblinear_C0.005_bal,0.7054447208425905,0.7168857431749242,0.6511627906976744,0.7321428571428571,0.7741496598639456,0.6817727338927347,0.6500000000000001,0.5500000000000002,0.6785714285714286,0.7673469387755102,-0.023671986949855728,-0.06688574317492402,-0.1011627906976742,-0.05357142857142849,-0.006802721088435382,0.9664438810718129,0.9066995768688295,0.9533151059466849,0.9528387292409151,0.9107142857142857,2000,0.7140269404532602,0.5214429585104874,0.8663152790297979,0.7145812511961851,0.5891317196735153,0.8362573099415205,0.6480824128748638,0.47049019607843157,0.8085106382978724,0.7333214285714286,0.625,0.8392857142857143,0.7753472315147619,0.6415066382171646,0.890351463551928,0.6947770473082313,0.4885419858088227,0.8628562779700354,0.6452606767097431,0.5101682778374509,0.7754010695187166,0.5434118198397668,0.34126016260162634,0.7179999999999999,0.6781696428571429,0.5535714285714286,0.8035714285714286,0.7682072551255447,0.6301123344074471,0.8898079648526076,-0.019249893145028826,-0.09750906717217926,0.050686661619875,-0.06932057448644215,-0.1650390692202445,0.014076115800629575
PTSD_label,B09_from_B0,20,0.5924309997369083,logreg_l2_liblinear_C0.05_cwpos3.2,0.40894340666718326,0.5087719298245614,0.3333333333333333,0.5714285714285714,0.5401360544217686,0.4011835400024484,0.4932126696832579,0.2941176470588235,0.5714285714285714,0.5374149659863945,-0.007759866664734882,-0.015559260141303544,-0.03921568627450983,0.0,-0.0027210884353741083,0.9810245952417318,0.969418005929162,0.9670539986329462,0.9763041378261512,0.9285714285714286,2000,0.43858546042701846,0.27508213028810374,0.6225667082888315,0.5037693973840945,0.3770617568085922,0.6359127639810263,0.32642195994268525,0.125,0.5238095238095238,0.5706964285714287,0.44642857142857145,0.6964285714285714,0.5399445981070007,0.38602986385595084,0.6913249855529872,0.43059666673255165,0.2675623708941783,0.6142058620851977,0.4893835237351509,0.3636137333505755,0.6287878787878787,0.2890119558300841,0.07407407407407407,0.4864864864864865,0.5715892857142858,0.44642857142857145,0.6964285714285714,0.5374966053555607,0.3845394736842107,0.6848958333333334,-0.007988793694466773,-0.05875534870075585,0.034108180868787794,-0.014385873648943552,-0.08675109403021623,0.049122807017543846
PTSD_label,B0_rho05_vaderfull,82,0.5720423927420021,logreg_l2_liblinear_C0.005_cwpos3.2,0.7439755267542281,0.7213930348258707,0.6666666666666666,0.7321428571428571,0.8068027210884353,0.7543124575887936,0.7213930348258707,0.6666666666666666,0.7321428571428571,0.8136054421768707,0.01033693083456555,0.0,0.0,0.0,0.006802721088435382,1.0138941812772564,1.0,0.9416951469583049,0.9530594560540983,0.8928571428571429,2000,0.7507329884507594,0.5579868352357685,0.894286747191568,0.7182143856012752,0.5988847528770183,0.835024549918167,0.6629808499997631,0.48644553644553645,0.8095238095238095,0.7328125,0.6071428571428571,0.8392857142857143,0.808557004086351,0.6796739221256685,0.9175077506656454,0.7608545319074744,0.5718868019600466,0.8987464027769972,0.7187360808756769,0.5960151150807284,0.8367346938775511,0.6639824980222431,0.48780487804878053,0.8108795235913877,0.7331160714285715,0.625,0.8392857142857143,0.8152560938342037,0.6858957219251337,0.9210535266738274,0.010121543456715145,-0.035576785059368406,0.05845587865901254,0.0005216952744016848,-0.0863478922140112,0.08265034501323267
