target,selection_view,family,family_label,model,n_features,feature,signed_coef,abs_coef,coef_rank_abs
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_neg,0.040465957077067675,0.040465957077067675,4
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_10,0.0390078635703424,0.0390078635703424,5
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative_vader,0.03886980936421676,0.03886980936421676,6
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_pos_tail_mass,-0.038762555465531645,0.038762555465531645,7
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative,0.0376887945941684,0.0376887945941684,8
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_07,0.03701513597083989,0.03701513597083989,9
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_22,-0.03485225836227864,0.03485225836227864,10
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_04,0.03445561894441425,0.03445561894441425,11
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_13,0.03432301655578812,0.03432301655578812,12
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_01,0.03285956852773518,0.03285956852773518,13
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_02,0.03099965938427819,0.03099965938427819,14
PTSD_label,best_en,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_positive,-0.030901397530112482,0.030901397530112482,15
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_overall,-0.11548703645745947,0.11548703645745947,1
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_vader_neg,0.05449332025918893,0.05449332025918893,2
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_neg_tail_mass,0.04671087493882429,0.04671087493882429,3
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,sentiment_neg,0.040465957077067675,0.040465957077067675,4
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_10,0.0390078635703424,0.0390078635703424,5
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative_vader,0.03886980936421676,0.03886980936421676,6
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_pos_tail_mass,-0.038762555465531645,0.038762555465531645,7
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_negative,0.0376887945941684,0.0376887945941684,8
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_07,0.03701513597083989,0.03701513597083989,9
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_22,-0.03485225836227864,0.03485225836227864,10
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_04,0.03445561894441425,0.03445561894441425,11
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_13,0.03432301655578812,0.03432301655578812,12
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_01,0.03285956852773518,0.03285956852773518,13
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,vader_hist_bin_02,0.03099965938427819,0.03099965938427819,14
PTSD_label,best_ua,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,first_person_sentiment_positive,-0.030901397530112482,0.030901397530112482,15
