target,best_en_family,best_en_family_label,best_en_model,best_en_n_features,EN_test_pr,EN_test_f1,UA_test_pr,UA_test_f1,sentiment_share_abs_coef,top15_sentiment_feature_count,sentiment_only_n_features,sentiment_only_EN_delta_f1,sentiment_only_UA_delta_f1,minus_sentiment_n_features,minus_sentiment_EN_delta_f1,minus_sentiment_UA_delta_f1,concise_takeaway
Depression_label,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.02_bal,82,0.7290024732412276,0.7888386123680242,0.7135738693311233,0.7375,0.7452565443790864,15,42,-0.0936005171299289,-0.0645353830298867,40,-0.3138386123680242,-0.23831300813008127,"Sentiment dominates the model but is not sufficient on its own; sentiment-only loses macro-F1, while removing sentiment collapses performance."
PTSD_label,B0_rho05_vaderfull,B0: rho>0.5 + full VADER hist,logreg_l2_liblinear_C0.005_cwpos3.2,82,0.7439755267542281,0.7213930348258707,0.7543124575887936,0.7213930348258707,0.7263312990672598,15,42,-0.009953666911064807,-0.048428417855757355,40,-0.19535136815920406,-0.21663113006396595,"Sentiment dominates the model but is not sufficient on its own; sentiment-only loses macro-F1, while removing sentiment collapses performance."
