target,probe_mode,baseline_family,baseline_feature_count,strict_sentiment_feature_count,remaining_feature_count,removed_feature_count,best_model,best_C,best_class_weight_name,threshold,mean_oof_pr,mean_oof_f1,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_roc,EN_delta_pr,EN_delta_f1,UA_delta_pr,UA_delta_f1
Depression_label,full_baseline,B0_rho05_vaderfull,82,42,82,0,logreg_l2_liblinear_C0.02_bal,,,,,,0.7290024732412276,0.7888386123680242,0.7058823529411765,0.7873303167420815,0.7135738693311233,0.7375,0.625,0.7722473604826546,0.0,0.0,0.0,0.0
PTSD_label,full_baseline,B0_rho05_vaderfull,82,42,82,0,logreg_l2_liblinear_C0.005_cwpos3.2,,,,,,0.7439755267542281,0.7213930348258707,0.6666666666666666,0.8068027210884353,0.7543124575887936,0.7213930348258707,0.6666666666666666,0.8136054421768707,0.0,0.0,0.0,0.0
Depression_label,minus_sentiment,B0_rho05_vaderfull,82,42,40,42,logreg_l2_liblinear_C0.005_cwpos2.0,0.005,cwpos2.0,0.3946662289571049,0.26656186485110567,0.5370500288804867,0.3765270088536825,0.47500000000000003,0.25,0.5203619909502262,0.4067382002979313,0.4991869918699188,0.26666666666666666,0.5143288084464555,-0.35247546438754507,-0.3138386123680242,-0.30683566903319204,-0.23831300813008127
Depression_label,sentiment_only,B0_rho05_vaderfull,82,42,42,40,logreg_l2_liblinear_C0.01_bal,0.01,bal,0.4995213657515025,0.38337106084076233,0.6294538735543428,0.7216661203788652,0.6952380952380953,0.6190476190476191,0.7858220211161387,0.7255242352701832,0.6729646169701133,0.5853658536585366,0.7767722473604826,-0.007336352862362339,-0.0936005171299289,0.011950365939059848,-0.0645353830298867
PTSD_label,minus_sentiment,B0_rho05_vaderfull,82,42,40,42,logreg_l2_liblinear_C0.05_cwpos3.2,0.05,cwpos3.2,0.5840778587044947,0.3625498287989534,0.564700943014534,0.3885309593696462,0.5260416666666666,0.4583333333333333,0.5292517006802722,0.401942546793635,0.5047619047619047,0.38095238095238093,0.5455782312925169,-0.35544456738458186,-0.19535136815920406,-0.3523699107951586,-0.21663113006396595
PTSD_label,sentiment_only,B0_rho05_vaderfull,82,42,42,40,logreg_l2_liblinear_C0.01_cwpos2.8,0.01,cwpos2.8,0.5478448142347822,0.5231490583196896,0.6859617618145415,0.7510985943843289,0.7114393679148059,0.6341463414634146,0.8095238095238095,0.7747597148291339,0.6729646169701133,0.5853658536585366,0.820408163265306,0.007123067630100843,-0.009953666911064807,0.020447257240340244,-0.048428417855757355
