target,family,bootstrap_n,EN_test_pr_boot_mean,EN_test_pr_ci_low,EN_test_pr_ci_high,EN_test_f1_boot_mean,EN_test_f1_ci_low,EN_test_f1_ci_high,EN_test_f1_binary_boot_mean,EN_test_f1_binary_ci_low,EN_test_f1_binary_ci_high,EN_test_accuracy_boot_mean,EN_test_accuracy_ci_low,EN_test_accuracy_ci_high,EN_test_roc_boot_mean,EN_test_roc_ci_low,EN_test_roc_ci_high,UA_test_pr_boot_mean,UA_test_pr_ci_low,UA_test_pr_ci_high,UA_test_f1_boot_mean,UA_test_f1_ci_low,UA_test_f1_ci_high,UA_test_f1_binary_boot_mean,UA_test_f1_binary_ci_low,UA_test_f1_binary_ci_high,UA_test_accuracy_boot_mean,UA_test_accuracy_ci_low,UA_test_accuracy_ci_high,UA_test_roc_boot_mean,UA_test_roc_ci_low,UA_test_roc_ci_high,delta_pr_ua_minus_en_boot_mean,delta_pr_ua_minus_en_ci_low,delta_pr_ua_minus_en_ci_high,delta_f1_ua_minus_en_boot_mean,delta_f1_ua_minus_en_ci_low,delta_f1_ua_minus_en_ci_high
Depression_label,B07_from_B0,2000,0.692671698709517,0.48011321727063894,0.8619313159680104,0.7094236697745007,0.5776772247360483,0.8292173384352054,0.6060998877518119,0.4,0.7804878048780488,0.7494464285714286,0.625,0.8571428571428571,0.7562401149168272,0.5884174722520588,0.9006191950464394,0.6398678848143673,0.3961908877210228,0.8328851741183092,0.6745707061581356,0.5354449472096532,0.8055835251246642,0.5412626116491756,0.31578947368421056,0.7368421052631577,0.732625,0.6071428571428571,0.8571428571428571,0.7151135070422293,0.5320048673808072,0.8671011044616357,-0.05280381389514949,-0.17070356973554046,0.04697305849860198,-0.03485296361636493,-0.12624701082633066,0.04660091922519699
Depression_label,B09_from_B0,2000,0.5335525521713324,0.3117226926899135,0.7176441619203126,0.5449639968126596,0.4087326637972262,0.6813008130081302,0.35709406948966516,0.13793103448275862,0.5625,0.6265357142857143,0.5,0.75,0.5971007160511722,0.4117551410808226,0.7636125283446712,0.47547507223443986,0.2551284042044911,0.682763153140415,0.5719041131342094,0.4295749912188268,0.7100756670649143,0.3798861327376727,0.14814814814814814,0.5925925925925927,0.6618660714285715,0.5357142857142857,0.7857142857142857,0.5924578413327477,0.41717820605992845,0.7580332885308945,-0.05807747993689258,-0.16724814054124046,0.009296606636163735,0.02694011632154968,0.0,0.07149019436328627
Depression_label,B0_rho05_vaderfull,2000,0.7342749027324217,0.511650104389075,0.8957661958345946,0.7853255139861409,0.6569369369369369,0.8939935064935063,0.7001225866917213,0.5,0.857305194805194,0.8218392857142858,0.7142857142857143,0.9107142857142857,0.7866620848021003,0.6172648278061227,0.9254560406698563,0.7210157478042886,0.495963149997088,0.8880760206957996,0.7339537131372635,0.602808631700009,0.8587387387387387,0.6191950897587006,0.39999999999999997,0.7999999999999999,0.7864821428571429,0.6785714285714286,0.8928571428571429,0.7721506575765539,0.6003137435654047,0.9125135869565216,-0.01325915492813309,-0.08372525844257513,0.060766425549415595,-0.05137180084887718,-0.12984971389046085,0.0
PTSD_label,B07_from_B0,2000,0.7140269404532602,0.5214429585104874,0.8663152790297979,0.7145812511961851,0.5891317196735153,0.8362573099415205,0.6480824128748638,0.47049019607843157,0.8085106382978724,0.7333214285714286,0.625,0.8392857142857143,0.7753472315147619,0.6415066382171646,0.890351463551928,0.6947770473082313,0.4885419858088227,0.8628562779700354,0.6452606767097431,0.5101682778374509,0.7754010695187166,0.5434118198397668,0.34126016260162634,0.7179999999999999,0.6781696428571429,0.5535714285714286,0.8035714285714286,0.7682072551255447,0.6301123344074471,0.8898079648526076,-0.019249893145028826,-0.09750906717217926,0.050686661619875,-0.06932057448644215,-0.1650390692202445,0.014076115800629575
PTSD_label,B09_from_B0,2000,0.43858546042701846,0.27508213028810374,0.6225667082888315,0.5037693973840945,0.3770617568085922,0.6359127639810263,0.32642195994268525,0.125,0.5238095238095238,0.5706964285714287,0.44642857142857145,0.6964285714285714,0.5399445981070007,0.38602986385595084,0.6913249855529872,0.43059666673255165,0.2675623708941783,0.6142058620851977,0.4893835237351509,0.3636137333505755,0.6287878787878787,0.2890119558300841,0.07407407407407407,0.4864864864864865,0.5715892857142858,0.44642857142857145,0.6964285714285714,0.5374966053555607,0.3845394736842107,0.6848958333333334,-0.007988793694466773,-0.05875534870075585,0.034108180868787794,-0.014385873648943552,-0.08675109403021623,0.049122807017543846
PTSD_label,B0_rho05_vaderfull,2000,0.7507329884507594,0.5579868352357685,0.894286747191568,0.7182143856012752,0.5988847528770183,0.835024549918167,0.6629808499997631,0.48644553644553645,0.8095238095238095,0.7328125,0.6071428571428571,0.8392857142857143,0.808557004086351,0.6796739221256685,0.9175077506656454,0.7608545319074744,0.5718868019600466,0.8987464027769972,0.7187360808756769,0.5960151150807284,0.8367346938775511,0.6639824980222431,0.48780487804878053,0.8108795235913877,0.7331160714285715,0.625,0.8392857142857143,0.8152560938342037,0.6858957219251337,0.9210535266738274,0.010121543456715145,-0.035576785059368406,0.05845587865901254,0.0005216952744016848,-0.0863478922140112,0.08265034501323267
