target,analysis,n_features,dropped_features,en_pr_auc,en_macro_f1,ua_pr_auc,ua_macro_f1,delta_ua_pr_auc_vs_b0,delta_ua_macro_f1_vs_b0
Depression,Baseline B0,82,0,0.7290024732412276,0.7888386123680242,0.7135738693311233,0.7375,0.0,0.0
Depression,Minus five proxy timing variables,77,5,0.7122234580815316,0.7543859649122807,0.7159225320499685,0.7207518220176448,0.0023486627188451,-0.0167481779823552
Depression,Minus proxy plus copied structure,64,18,0.719176545483247,0.7714285714285715,0.7303829355985656,0.7375,0.016809066267442274,0.0
PTSD,Baseline B0,82,0,0.7439755267542281,0.7213930348258707,0.7543124575887936,0.7213930348258707,0.0,0.0
PTSD,Minus five proxy timing variables,77,5,0.7521836413864469,0.7213930348258707,0.7789159286139453,0.7333333333333334,0.0246034710251517,0.0119402985074626
PTSD,Minus proxy plus copied structure,64,18,0.7373572862360475,0.7168857431749242,0.754866421141206,0.7114393679148059,0.0005539635524123288,-0.009953666911064807
