target,mode,probe_name,baseline_family,baseline_feature_count,remaining_feature_count,removed_feature_count,best_model,best_C,best_class_weight_name,threshold,mean_oof_pr,mean_oof_f1,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_roc,EN_delta_pr,EN_delta_f1,UA_delta_pr,UA_delta_f1
Depression_label,drop_proxy_timing,proxy_timing_5,B0_rho05_vaderfull,82,77,5,logreg_l2_liblinear_C0.02_cwpos1.8,0.02,cwpos1.8,0.3793981513308003,0.3769983850688912,0.6283956953547374,0.7122234580815316,0.7543859649122807,0.6666666666666667,0.7737556561085972,0.7159225320499685,0.7207518220176448,0.6060606060606061,0.7601809954751132,-0.0167790151596959,-0.0344526474557435,0.0023486627188451,-0.0167481779823552
PTSD_label,drop_proxy_timing,proxy_timing_5,B0_rho05_vaderfull,82,77,5,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5720443874792858,0.5208736824181993,0.6800529267913014,0.7521836413864469,0.7213930348258707,0.6666666666666666,0.8095238095238095,0.7789159286139453,0.7333333333333334,0.6666666666666666,0.8285714285714285,0.0082081146322188,0.0,0.0246034710251517,0.0119402985074626
