target,model_family,model,n,mean_oof_pr,mean_oof_f1,threshold,official_test_pr,official_test_f1,official_test_f1_binary,official_test_accuracy,official_test_roc
Depression,Logistic regression (L2 liblinear),logreg_l2_liblinear_C0.02_bal,82,0.3795274847444932,0.6279188613988079,0.5320324848487864,0.7290024732412276,0.7888386123680242,0.7058823529411765,0.8214285714285714,0.7873303167420815
Depression,Logistic regression (L1 liblinear),logreg_l1_liblinear_C0.1_cwpos2.2,82,0.3343223663937145,0.6248910455070698,0.4381701309587622,0.7248886509451187,0.7543859649122807,0.6666666666666667,0.7857142857142857,0.7918552036199095
Depression,Linear SVC,svc_linear_C0.01_bal,82,0.3032493027489982,0.5811974575936201,0.3012779687294025,0.6897646973208961,0.7637130801687764,0.6666666666666667,0.8035714285714286,0.7767722473604827
Depression,Logistic regression (elastic-net),logreg_elasticnet_C0.1_l1r0.85_cwpos1.8,82,0.3425444712472593,0.6306241242062445,0.3484160365086818,0.6810179447679109,0.7610241820768137,0.6842105263157895,0.7857142857142857,0.7812971342383106
Depression,logreg_l2_lbfgs,logreg_l2_lbfgs_C0.01_bal,82,0.3386957035811689,0.6013445271503677,0.5883368730370475,0.7025942310388398,0.7375,0.625,0.7857142857142857,0.7647058823529412
Depression,Linear discriminant analysis,lda_lsqr_auto,82,0.2726429376282214,0.559789232219712,0.3765469465912294,0.6762054123618885,0.7637130801687764,0.6666666666666667,0.8035714285714286,0.7631975867269984
Depression,XGBoost,xgb_lr0.05_md2_spw3.47,82,0.326421482562569,0.6113956493196995,0.4972542537450791,0.6448210490234899,0.6510178645616951,0.4827586206896552,0.7321428571428571,0.7405731523378583
Depression,Random forest,rf_md5_ml2_mf0.5_cwpos1.8,82,0.36604818809024,0.6270269383284555,0.3126690786891957,0.6131940556863157,0.6729646169701133,0.5853658536585366,0.6964285714285714,0.7601809954751132
Depression,Extra Trees,et_md5_ml2_mf0.5_cwpos1.8,82,0.3519519021826298,0.6198100395787847,0.3368209233644616,0.647835353610657,0.625668449197861,0.5454545454545455,0.6428571428571429,0.746606334841629
Depression,Histogram gradient boosting,hgb_lr0.03_md3_ln15,82,0.3538601835896045,0.6239571644974198,0.3767072366734074,0.575362261983509,0.5902439024390245,0.4000000000000001,0.6785714285714286,0.7058823529411765
PTSD,Logistic regression (L2 liblinear),logreg_l2_liblinear_C0.005_cwpos3.2,82,0.5241026403639188,0.6824197531007876,0.5720423927420021,0.7439755267542281,0.7213930348258707,0.6666666666666666,0.7321428571428571,0.8068027210884353
PTSD,Logistic regression (elastic-net),logreg_elasticnet_C0.1_l1r0.5_bal,82,0.4627726504032174,0.6660331763332111,0.5022349083119003,0.7180428759292989,0.7333333333333334,0.6666666666666666,0.75,0.7727891156462585
PTSD,Logistic regression (L1 liblinear),logreg_l1_liblinear_C0.1_cwpos2.4,82,0.4577499531261521,0.6680620634291745,0.5320833582241159,0.7096150603586262,0.7333333333333334,0.6666666666666666,0.75,0.7687074829931972
PTSD,logreg_l2_lbfgs,logreg_l2_lbfgs_C0.005_cwpos2.4,82,0.5027944064129674,0.653902577913458,0.51349963225754,0.6587218129120469,0.729990356798457,0.7058823529411764,0.7321428571428571,0.7755102040816326
PTSD,XGBoost,xgb_lr0.03_md2_spw1.0,82,0.4548524747365153,0.6435805006817666,0.281175031863153,0.6041410404236345,0.7417654808959158,0.6956521739130435,0.75,0.7768707482993198
PTSD,Histogram gradient boosting,hgb_lr0.03_md3_ln15,82,0.4618616730037498,0.6468501899089337,0.2352381644690638,0.6295833148414971,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7673469387755101
PTSD,Random forest,rf_md5_ml2_mf0.5_cwpos2.4,82,0.5012889621537473,0.6527636107192435,0.3905832076098559,0.6169229781106946,0.6952380952380952,0.6190476190476191,0.7142857142857143,0.7387755102040816
PTSD,Extra Trees,et_mdNone_ml1_mfsqrt_bal,82,0.4905841172593989,0.6636184962231875,0.296175,0.654022205737131,0.6579877852780457,0.6274509803921569,0.6607142857142857,0.7428571428571429
PTSD,Linear SVC,svc_linear_C0.01_bal,82,0.4668878691219641,0.6334535697591758,0.363835413230685,0.5815885441825291,0.7168857431749242,0.6511627906976744,0.7321428571428571,0.746938775510204
PTSD,Linear discriminant analysis,lda_lsqr_auto,82,0.4475768619682242,0.6118092928469919,0.2345091633731142,0.518733702265694,0.7083333333333333,0.6666666666666666,0.7142857142857143,0.7183673469387755
