target,best_setting,n_features,mean_oof_pr,mean_oof_f1,mean_combo,oof_variability,threshold,official_test_pr,official_test_f1,official_test_accuracy,official_test_roc
Depression,logreg_l2_liblinear_C0.02_bal,82,0.3795274847444932,0.6279188613988079,0.5037231730716506,0.0204738610099463,0.5320324848487864,0.7290024732412276,0.7888386123680242,0.8214285714285714,0.7873303167420815
PTSD,logreg_l2_liblinear_C0.005_cwpos3.2,82,0.5241026403639188,0.6824197531007876,0.6032611967323532,0.0237046414018916,0.5720423927420021,0.7439755267542281,0.7213930348258707,0.7321428571428571,0.8068027210884353
