target,sentiment_abs_coef_share,top10_sentiment_feature_count,sentiment_only_delta_pr_en,sentiment_only_delta_pr_ua,sentiment_only_delta_f1_en,sentiment_only_delta_f1_ua,minus_sentiment_delta_pr_en,minus_sentiment_delta_pr_ua,minus_sentiment_delta_f1_en,minus_sentiment_delta_f1_ua
Depression,0.7452565443790864,10,-0.0073363528623623,0.0119503659390598,-0.0936005171299289,-0.0645353830298867,-0.352475464387545,-0.306835669033192,-0.3138386123680242,-0.2383130081300812
PTSD,0.7263312990672598,10,0.0071230676301008,0.0204472572403402,-0.0099536669110648,-0.0484284178557573,-0.3554445673845818,-0.3523699107951586,-0.195351368159204,-0.2166311300639659
