target,mode,probe_name,baseline_family,baseline_feature_count,remaining_feature_count,removed_feature_count,best_model,best_C,best_class_weight_name,threshold,mean_oof_pr,mean_oof_f1,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_roc,EN_delta_pr,EN_delta_f1,UA_delta_pr,UA_delta_f1
Depression,only_family,timing_volume,B0_rho05_vaderfull,82,12,70,logreg_l2_liblinear_C0.005_bal,0.005,bal,0.4980095599998322,0.2505227752466206,0.5361110753242003,0.365065515474087,0.5204216073781291,0.4347826086956522,0.5595776772247361,0.3446723464055397,0.5190656131913431,0.3902439024390243,0.5460030165912518,-0.3639369577671405,-0.268417004989895,-0.3689015229255836,-0.2184343868086569
Depression,drop_family,timing_volume,B0_rho05_vaderfull,82,70,12,logreg_l2_liblinear_C0.02_bal,0.02,bal,0.5244302277787176,0.3820065585166824,0.6293491459010874,0.7203083663984875,0.7543859649122807,0.6666666666666667,0.7873303167420814,0.7303829355985656,0.7375,0.625,0.7782805429864253,-0.00869410684274,-0.0344526474557435,0.0168090662674422,0.0
Depression,only_family,counts,B0_rho05_vaderfull,82,6,76,logreg_l2_liblinear_C0.005_cwpos2.0,0.005,cwpos2.0,0.4607135658976407,0.2312251491728275,0.5203192769832629,0.4039603613247837,0.4105263157894737,0.0,0.5098039215686274,0.3945086354086548,0.4105263157894737,0.0,0.502262443438914,-0.3250421119164438,-0.3783122965785505,-0.3190652339224685,-0.3269736842105263
Depression,drop_family,counts,B0_rho05_vaderfull,82,76,6,logreg_l2_liblinear_C0.01_cwpos1.8,0.01,cwpos1.8,0.3670232709187531,0.3847346906672465,0.629977432779492,0.6974400247324123,0.7211948790896159,0.6315789473684211,0.7647058823529412,0.638395317548639,0.6972972972972973,0.5945945945945946,0.7450980392156863,-0.0315624485088152,-0.0676437332784083,-0.0751785517824843,-0.0402027027027027
Depression,only_family,lexical_style,B0_rho05_vaderfull,82,7,75,logreg_l2_liblinear_C0.005_cwpos1.8,0.005,cwpos1.8,0.4018932174741246,0.2803358995696066,0.5541489263447309,0.3668551409310071,0.4105263157894737,0.0,0.4766214177978884,0.4157067632552954,0.4105263157894737,0.0,0.4796380090497738,-0.3621473323102204,-0.3783122965785505,-0.2978671060758279,-0.3269736842105263
Depression,drop_family,lexical_style,B0_rho05_vaderfull,82,75,7,logreg_l2_liblinear_C0.02_bal,0.02,bal,0.5321819341146685,0.3801978103156168,0.6266098798503987,0.7290024732412276,0.7888386123680242,0.7058823529411765,0.7873303167420815,0.7130764187652733,0.7375,0.625,0.770739064856712,0.0,0.0,-0.00049745056585,0.0
Depression,only_family,repetition,B0_rho05_vaderfull,82,2,80,logreg_l2_liblinear_C0.005_cwpos1.8,0.005,cwpos1.8,0.4630290062197912,0.2771350948200282,0.5605230070717089,0.324453184562547,0.4105263157894737,0.0,0.5098039215686274,0.3259733110983774,0.4105263157894737,0.0,0.5294117647058824,-0.4045492886786805,-0.3783122965785505,-0.3876005582327459,-0.3269736842105263
Depression,drop_family,repetition,B0_rho05_vaderfull,82,80,2,logreg_l2_liblinear_C0.02_cwpos2.0,0.02,cwpos2.0,0.4041954478437223,0.3717227116498639,0.6279580174407597,0.696570061362449,0.7376576576576577,0.6486486486486486,0.7752639517345399,0.6914515589623194,0.72987012987013,0.6285714285714287,0.7647058823529411,-0.0324324118787785,-0.0511809547103665,-0.0221223103688039,-0.00762987012987
Depression,only_family,sentiment_summary,B0_rho05_vaderfull,82,8,74,logreg_l2_liblinear_C0.05_bal,0.05,bal,0.5210858521642272,0.3611318538692581,0.6312856232169843,0.7311785462603402,0.72987012987013,0.6285714285714287,0.7933634992458521,0.6383600284411213,0.6777905638665133,0.5454545454545455,0.7541478129713424,0.0021760730191126,-0.0589684824978942,-0.075213840890002,-0.0597094361334867
Depression,drop_family,sentiment_summary,B0_rho05_vaderfull,82,74,8,logreg_l2_liblinear_C0.01_cwpos2.0,0.01,cwpos2.0,0.3903400246655196,0.3676845783872142,0.6157447985748447,0.6376610021081296,0.6467532467532469,0.5142857142857143,0.722473604826546,0.6330229804125541,0.7207518220176448,0.6060606060606061,0.7330316742081447,-0.0913414711330979,-0.1420853656147773,-0.0805508889185692,-0.0167481779823552
