target,mode,probe_name,baseline_family,baseline_feature_count,remaining_feature_count,removed_feature_count,best_model,best_C,best_class_weight_name,threshold,mean_oof_pr,mean_oof_f1,EN_test_pr,EN_test_f1,EN_test_f1_binary,EN_test_roc,UA_test_pr,UA_test_f1,UA_test_f1_binary,UA_test_roc,EN_delta_pr,EN_delta_f1,UA_delta_pr,UA_delta_f1
PTSD,only_family,timing_volume,B0_rho05_vaderfull,82,12,70,logreg_l2_liblinear_C0.05_cwpos2.8,0.05,cwpos2.8,0.5443714068689558,0.3348221180218347,0.544554499665838,0.3517687134262477,0.4684124386252045,0.3829787234042554,0.4761904761904762,0.3362877742579205,0.4689146469968387,0.3076923076923076,0.4462585034013605,-0.3922068133279803,-0.2529805962006661,-0.418024683330873,-0.252478387829032
PTSD,drop_family,timing_volume,B0_rho05_vaderfull,82,70,12,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5764445354500705,0.5247014110050466,0.6872017059762964,0.7509071097940687,0.7277777777777779,0.6500000000000001,0.8095238095238096,0.777336623784123,0.7277777777777779,0.6500000000000001,0.8272108843537415,0.0069315830398406,0.0063847429519071,0.0230241661953294,0.0063847429519071
PTSD,only_family,counts,B0_rho05_vaderfull,82,6,76,logreg_l2_liblinear_C0.01_cwpos3.2,0.01,cwpos3.2,0.5524864636450214,0.3396751993633266,0.5804534458357058,0.5346442461144891,0.5351213282247764,0.5185185185185185,0.6421768707482993,0.5553152706439943,0.5708812260536398,0.5862068965517242,0.6761904761904762,-0.2093312806397389,-0.1862717066010942,-0.1989971869447993,-0.1505118087722309
PTSD,drop_family,counts,B0_rho05_vaderfull,82,76,6,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5734978369264678,0.5187127871304867,0.6768533525572334,0.7381189858545949,0.7333333333333334,0.6666666666666666,0.8013605442176871,0.7529540997574118,0.6791371755982474,0.6046511627906977,0.8054421768707483,-0.0058565408996331,0.0119402985074626,-0.0013583578313818,-0.0422558592276233
PTSD,only_family,lexical_style,B0_rho05_vaderfull,82,7,75,logreg_l2_liblinear_C0.005_bal,0.005,bal,0.4991472077832873,0.3062164436615406,0.5161409878316434,0.4373724832782073,0.4343434343434343,0.0909090909090909,0.5346938775510204,0.4307976689490721,0.4343434343434343,0.0909090909090909,0.5727891156462586,-0.3066030434760207,-0.2870496004824363,-0.3235147886397215,-0.2870496004824363
PTSD,drop_family,lexical_style,B0_rho05_vaderfull,82,75,7,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.569383236393261,0.5270612685091901,0.681402545875031,0.7474427769849054,0.7213930348258707,0.6666666666666666,0.8068027210884353,0.7606113545210194,0.7213930348258707,0.6666666666666666,0.819047619047619,0.0034672502306772,0.0,0.0062988969322257,0.0
PTSD,only_family,repetition,B0_rho05_vaderfull,82,2,80,logreg_l2_liblinear_C0.005_bal,0.005,bal,0.4997104291604924,0.3406524613280993,0.549595176784757,0.3561416509497463,0.4423897581792319,0.2631578947368421,0.4598639455782313,0.3723145109279492,0.520421607378129,0.4347826086956521,0.5034013605442177,-0.3878338758044817,-0.2790032766466388,-0.3819979466608444,-0.2009714274477416
PTSD,drop_family,repetition,B0_rho05_vaderfull,82,80,2,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5713996446013936,0.5220975906999116,0.6810964647809001,0.7507353404154229,0.7213930348258707,0.6666666666666666,0.8095238095238094,0.7598963538060186,0.7213930348258707,0.6666666666666666,0.8176870748299319,0.0067598136611948,0.0,0.0055838962172249,0.0
PTSD,only_family,sentiment_summary,B0_rho05_vaderfull,82,8,74,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5545924603363361,0.4842434465877758,0.6736822996455635,0.7064286428994571,0.7213930348258707,0.6666666666666666,0.7768707482993197,0.715689181272851,0.7168857431749242,0.6511627906976744,0.7809523809523808,-0.037546883854771,0.0,-0.0386232763159426,-0.0045072916509465
PTSD,drop_family,sentiment_summary,B0_rho05_vaderfull,82,74,8,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.5663440830631818,0.5397665744687,0.668946907979923,0.7753778267099615,0.6781609195402298,0.6666666666666665,0.8231292517006803,0.8056404881913506,0.676923076923077,0.6538461538461537,0.8340136054421768,0.0314022999557334,-0.0432321152856408,0.0513280306025569,-0.0444699579027937
PTSD,only_family,first_person,B0_rho05_vaderfull,82,7,75,logreg_l2_liblinear_C0.05_cwpos2.4,0.05,cwpos2.4,0.5083677929399817,0.4810194435362726,0.6738726826734587,0.6979650563796971,0.672514619883041,0.5555555555555556,0.7265306122448979,0.7290503434409394,0.6510178645616951,0.4827586206896551,0.765986394557823,-0.0460104703745309,-0.0488784149428297,-0.0252621141478541,-0.0703751702641756
PTSD,drop_family,first_person,B0_rho05_vaderfull,82,75,7,logreg_l2_liblinear_C0.005_cwpos3.2,0.005,cwpos3.2,0.571060721827206,0.5170885846961555,0.6726299559273576,0.7206327930509708,0.688379705400982,0.6382978723404256,0.7959183673469388,0.757178144979893,0.7278911564625851,0.6938775510204083,0.8163265306122449,-0.0233427337032572,-0.0330133294248886,0.0028656873910993,0.0064981216367143
