artifact_name,artifact_role,redistribution_status,rows,columns,bytes,sha256
summary_en_3_4_2026_expanded_b0_union_features.csv,English frozen paper model-input feature table,restricted_not_redistributed,275,88,356117,d0e1b813201358665aa699c9cf30c35ee1082d0fdde31aacf67e13bb6f9d5332
summary_ukr_3_4_2026_expanded_b0_union_features.csv,Ukrainian frozen paper model-input feature table,restricted_not_redistributed,275,88,354274,8761e2dea7ddc86080f6a31537cff74e571eb5eafc3e8341e3c238e20c481ca5
section3_en_selected_models.csv,Paper selected-model summary artifact,restricted_not_redistributed,6,25,15479,5a569623b3a67e200dc335aa124d5e8f41ce3111afd01ba862e75c140058ba5a
section3_en_test_predictions.csv,Paper held-out prediction artifact,restricted_not_redistributed,336,6,18705,cf75aa17ba1374dd7a84417231cceadad0387f97d9bedabbbd250f8b2337203d
