target,family,n_features,EN_test_pr,UA_test_pr,delta_pr_ua_minus_en,EN_test_f1,UA_test_f1,EN_test_accuracy,UA_test_accuracy,delta_acc_ua_minus_en
Depression,B0_rho05_vaderfull,82,0.7290024732412276,0.7135738693311233,-0.0154286039101042,0.7888386123680242,0.7375,0.8214285714285714,0.7857142857142857,-0.0357142857142857
Depression,B07_from_B0,53,0.6828476758699452,0.6156433141556389,-0.0672043617143063,0.7134502923976609,0.6777905638665133,0.75,0.7321428571428571,-0.0178571428571429
Depression,B09_from_B0,20,0.5242572475606267,0.4542674863824633,-0.0699897611781634,0.5489067894131184,0.5762644364794902,0.625,0.6607142857142857,0.0357142857142857
PTSD,B0_rho05_vaderfull,82,0.7439755267542281,0.7543124575887936,0.0103369308345655,0.7213930348258707,0.7213930348258707,0.7321428571428571,0.7321428571428571,0.0
PTSD,B07_from_B0,53,0.7054447208425905,0.6817727338927347,-0.0236719869498557,0.7168857431749242,0.6500000000000001,0.7321428571428571,0.6785714285714286,-0.0535714285714284
PTSD,B09_from_B0,20,0.4089434066671832,0.4011835400024484,-0.0077598666647348,0.5087719298245614,0.4932126696832579,0.5714285714285714,0.5714285714285714,0.0
